landslides_polygons$id,mean.tch,sd.tch,mean.slope,mean.tri,tri.10m,elev,elev.km,ls.northing,ls.easting,insol.dsm,insol.kw,insol,agb,year,age,surface.area,perimeter,elev.mean.tch,max.tch.buf,rem
81,9.587220027,4.924372435,44.81606799,1.564680302,7.434559789,2969.646892,2.969646892,0.48145457,0.835444709,1209112.031,1209.112031,3.312635701,64.0959298,1994,19,4284.611657,292.8922543,11.6902549,23.12133789,1
83,1.186336013,1.328885364,43.74872286,1.563150299,7.725543976,3068.068301,3.068068301,0.237323698,0.909985469,1278299.857,1278.299857,3.502191389,9.29559131,2011,2,2033.687196,191.0695068,11.57398169,7.166992188,0
84,1.830642832,2.725145013,41.33206962,1.37040169,6.824469672,2986.777842,2.986777842,0.306703598,0.905104818,1148951.5,1148.9515,3.147812329,9.862563246,2011,2,2803.35011,230.317628,11.67001672,15.37573242,1
85,1.887055384,2.121511904,39.13832629,1.294873556,6.609788683,2990.274815,2.990274815,0.224742607,0.903115425,1134646.08,1134.64608,3.108619398,10.31693618,2012,1,1594.142293,223.4366667,11.66588546,9.524658203,0
86,2.438380076,3.005765479,40.50880656,1.419893781,6.6478328,3084.341819,3.084341819,0.366687425,0.098040068,1092254.624,1092.254624,2.992478422,16.7754668,2011,2,4175.155068,453.4368777,11.55475646,12.93334961,1
88,1.352464746,1.389648891,42.08261199,1.427139245,6.891287139,3531.307267,3.531307267,0.764049726,-0.371471535,1501170.122,1501.170122,4.112794853,9.768598463,2007,6,4550.364097,421.8144492,3.462247717,8.905761719,1
90,6.091902046,3.712964021,42.47766975,1.43848842,6.810565371,3133.872509,3.133872509,0.591519325,0.701921783,1302763.757,1302.763757,3.569215771,42.30413308,2001,12,4617.742136,522.1674785,10.77544202,16.88989258,1
91,2.102213687,2.440768415,42.90821274,1.474023076,7.167601152,3167.571777,3.167571777,0.376572256,0.887409006,1287375.682,1287.375682,3.527056663,13.15899693,2003,10,3123.350227,366.1184263,10.15534202,8.871826172,0
92,1.797673066,3.027306746,43.04239474,1.488520854,7.01856842,3097.489562,3.097489562,0.383149148,0.845974177,1076658.121,1076.658121,2.949748277,11.39498646,2007,6,2911.782157,263.0269014,11.44492439,22.63012695,1
93,2.040893666,2.794873792,44.53364896,1.595856787,7.290014094,2933.516913,2.933516913,0.774529681,0.487590825,1134335.756,1134.335756,3.107769194,10.7846549,2006,7,3228.363304,289.6512368,11.73293818,14.69580078,1
